"","poisson"
"1971",290.410030995918
"1972",289.206093727171
"1973",316.370222230815
"1974",295.033795696402
"1975",296.310980603285
"1976",282.314613343702
"1977",286.083641713656
"1978",261.846219800402
"1979",322.94699888444
"1980",317.211078752705
"1981",310.581244532538
"1982",320.624236840338
"1983",320.284999737922
"1984",468.447572398661
"1985",981.027710423312
"1986",817.922275142496
"1987",713.229217273328
"1988",714.67951855205
"1989",817.259854414389
"1990",683.340381285129
"1991",946.768127025215
"1992",776.134763159003
"1993",912.191491871257
"1994",783.284478499159
"1995",920.733390575599
"1996",1027.6035384119
"1997",1062.95251867625
"1998",1014.63439488963
"1999",977.735491325703
"2000",941.243981752413
"2001",731.055983157523
"2002",894.655799341359
"2003",401.25995064894
"2004",1178.41040088751
"2005",1275.92541369585
"2006",920.451595438959
"2007",889.571335509517
"2008",984.226990226578
"2009",802.090264934371
"2010",779.622382047274
"2011",670.358459301036
"2012",749.580981936636
"2013",672.996356708834
"2014",844.75800744661
"2015",863.656568942993
"2016",802.044576289453
"2017",602.784892375991
"2018",548.513047531988
"2019",599.029676058086
"2020",441.747199476922
