"","poisson"
"1971",287.544308602538
"1972",307.804699118172
"1973",318.43512121432
"1974",301.93171567024
"1975",299.512793950298
"1976",286.241004382821
"1977",298.253849127482
"1978",272.90567410311
"1979",343.226963021972
"1980",315.133701832114
"1981",326.036465747328
"1982",327.583358980563
"1983",344.632172036924
"1984",519.476422420111
"1985",1088.27204057366
"1986",950.869331523216
"1987",750.39263128636
"1988",751.974184640427
"1989",835.648012446893
"1990",704.30394552841
"1991",957.379057786707
"1992",798.381742282111
"1993",916.588048875807
"1994",796.070023134345
"1995",939.50936447806
"1996",1021.98942075364
"1997",1068.61498430756
"1998",1037.72389999843
"1999",981.11135795917
"2000",989.419219846078
"2001",746.84917296235
"2002",908.852790784747
"2003",414.382423832394
"2004",1189.56330531924
"2005",1276.24685393142
"2006",926.749400192034
"2007",896.688303077186
"2008",992.58646374841
"2009",806.710680242508
"2010",777.651945739888
"2011",669.141656487072
"2012",753.312585437001
"2013",669.730522344112
"2014",840.95945793375
"2015",871.779716973435
"2016",799.039644537974
"2017",613.779277981979
"2018",546.99139759713
"2019",593.220575384267
"2020",449.561895719976
