"","poisson"
"1971",293.877877585627
"1972",308.163584749907
"1973",319.726289740061
"1974",300.967223865222
"1975",302.259255318639
"1976",282.893405838033
"1977",297.597942750387
"1978",286.52727405821
"1979",344.672420606612
"1980",313.344617839702
"1981",326.651964963831
"1982",327.403575120536
"1983",344.30142693621
"1984",525.564026857115
"1985",1090.13250020703
"1986",956.732665131968
"1987",749.60910073739
"1988",755.545859525592
"1989",813.18024222962
"1990",692.01980372759
"1991",962.560901938523
"1992",794.905729706648
"1993",933.532961951463
"1994",810.50902737511
"1995",939.775324184343
"1996",1039.29276602677
"1997",1067.90436200857
"1998",1033.29431336021
"1999",989.00367872817
"2000",996.30231735875
"2001",753.223625769311
"2002",901.604695924697
"2003",415.03972885061
"2004",1186.88523805549
"2005",1270.95587235926
"2006",913.09209413301
"2007",889.997746930641
"2008",980.197448704378
"2009",806.090062302711
"2010",774.510121745415
"2011",672.01825647311
"2012",751.85335813936
"2013",673.308311894761
"2014",841.776901590631
"2015",870.245129815372
"2016",795.117787482932
"2017",611.020857529077
"2018",547.787485259463
"2019",594.072917587127
"2020",451.97415008267
